2025-05-15 04:57:28 | ERROR | stderr | Loading safetensors checkpoint shards:   0% Completed | 0/4 [00:00<?, ?it/s]
2025-05-15 04:57:28 | ERROR | stderr | 
2025-05-15 04:57:32 | ERROR | stderr | Loading safetensors checkpoint shards:  25% Completed | 1/4 [00:03<00:11,  3.98s/it]
2025-05-15 04:57:32 | ERROR | stderr | 
2025-05-15 04:57:36 | ERROR | stderr | Loading safetensors checkpoint shards:  50% Completed | 2/4 [00:08<00:08,  4.02s/it]
2025-05-15 04:57:36 | ERROR | stderr | 
2025-05-15 04:57:40 | ERROR | stderr | Loading safetensors checkpoint shards:  75% Completed | 3/4 [00:11<00:03,  3.85s/it]
2025-05-15 04:57:40 | ERROR | stderr | 
2025-05-15 04:57:44 | ERROR | stderr | Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:15<00:00,  3.95s/it]
2025-05-15 04:57:44 | ERROR | stderr | 
2025-05-15 04:57:44 | ERROR | stderr | Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:15<00:00,  3.95s/it]
2025-05-15 04:57:44 | ERROR | stderr | 
2025-05-15 04:57:44 | ERROR | stderr | 
2025-05-15 04:58:02 | INFO | model_worker | Loading the model ['Qwen2.5-7B-Instruct'] on worker 92b5460c, worker type: vLLM worker...
2025-05-15 04:58:02 | INFO | model_worker | Register to controller
2025-05-15 04:58:02 | ERROR | stderr | [rank0]: Traceback (most recent call last):
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:   File "/root/miniconda3/envs/open_reasoner/lib/python3.10/site-packages/urllib3/connection.py", line 198, in _new_conn
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:     sock = connection.create_connection(
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:   File "/root/miniconda3/envs/open_reasoner/lib/python3.10/site-packages/urllib3/util/connection.py", line 85, in create_connection
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:     raise err
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:   File "/root/miniconda3/envs/open_reasoner/lib/python3.10/site-packages/urllib3/util/connection.py", line 73, in create_connection
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:     sock.connect(sa)
2025-05-15 04:58:02 | ERROR | stderr | [rank0]: ConnectionRefusedError: [Errno 111] Connection refused
2025-05-15 04:58:02 | ERROR | stderr | 
2025-05-15 04:58:02 | ERROR | stderr | [rank0]: The above exception was the direct cause of the following exception:
2025-05-15 04:58:02 | ERROR | stderr | 
2025-05-15 04:58:02 | ERROR | stderr | [rank0]: Traceback (most recent call last):
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:   File "/root/miniconda3/envs/open_reasoner/lib/python3.10/site-packages/urllib3/connectionpool.py", line 787, in urlopen
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:     response = self._make_request(
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:   File "/root/miniconda3/envs/open_reasoner/lib/python3.10/site-packages/urllib3/connectionpool.py", line 493, in _make_request
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:     conn.request(
2025-05-15 04:58:02 | ERROR | stderr | [rank0]:   File "/root/miniconda3/envs/open_reasoner/lib/python3.10/site-packages/urllib3/connection.py", line 445, in request
