2025-05-17 04:28:41 | ERROR | stderr | Loading safetensors checkpoint shards:   0% Completed | 0/4 [00:00<?, ?it/s]
2025-05-17 04:28:41 | ERROR | stderr | 
2025-05-17 04:28:43 | ERROR | stderr | Loading safetensors checkpoint shards:  25% Completed | 1/4 [00:01<00:05,  1.75s/it]
2025-05-17 04:28:43 | ERROR | stderr | 
2025-05-17 04:28:44 | ERROR | stderr | Loading safetensors checkpoint shards:  50% Completed | 2/4 [00:03<00:03,  1.84s/it]
2025-05-17 04:28:44 | ERROR | stderr | 
2025-05-17 04:28:46 | ERROR | stderr | Loading safetensors checkpoint shards:  75% Completed | 3/4 [00:05<00:01,  1.81s/it]
2025-05-17 04:28:46 | ERROR | stderr | 
2025-05-17 04:28:48 | ERROR | stderr | Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:07<00:00,  1.82s/it]
2025-05-17 04:28:48 | ERROR | stderr | 
2025-05-17 04:28:48 | ERROR | stderr | Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:07<00:00,  1.81s/it]
2025-05-17 04:28:48 | ERROR | stderr | 
2025-05-17 04:28:48 | ERROR | stderr | 
2025-05-17 04:29:08 | INFO | model_worker | Loading the model ['Qwen2.5-7B-Instruct'] on worker f4237bba, worker type: vLLM worker...
2025-05-17 04:29:08 | INFO | model_worker | Register to controller
2025-05-17 04:29:08 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m939946[0m]
2025-05-17 04:29:08 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2025-05-17 04:29:08 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2025-05-17 04:29:08 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://0.0.0.0:30011[0m (Press CTRL+C to quit)
